Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Calsbeek R., McPeek M.A.","On the utility of meta-analyses in the study of natural selection",2016,"Journal of Evolutionary Biology","29","10",,"1907","1908",,1,10.1111/jeb.12942,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991783899&doi=10.1111%2fjeb.12942&partnerID=40&md5=26744d8ccf7e34003904d4094b653b80","Department of Biological Sciences, Dartmouth College, Hanover, NH, United States","Calsbeek, R., Department of Biological Sciences, Dartmouth College, Hanover, NH, United States; McPeek, M.A., Department of Biological Sciences, Dartmouth College, Hanover, NH, United States",[No abstract available],,,"Calsbeek, R.; Department of Biological Sciences, Dartmouth CollegeUnited States; email: ryan.calsbeek@dartmouth.edu",,"Blackwell Publishing Ltd",1010061X,,JEBIE,,"English","J. Evol. Biol.",Note,Scopus,2-s2.0-84991783899
"Morrissey M.B.","Rejoinder: Further considerations for meta-analysis of transformed quantities such as absolute values",2016,"Journal of Evolutionary Biology","29","10",,"1922","1931",,,10.1111/jeb.12951,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991746933&doi=10.1111%2fjeb.12951&partnerID=40&md5=ca500c686530234d15158474ce8ea23f","School of Biology, University of St Andrews, St Andrews, Fife, United Kingdom","Morrissey, M.B., School of Biology, University of St Andrews, St Andrews, Fife, United Kingdom",[No abstract available],,,"Morrissey, M.B.; School of Biology, University of St AndrewsUnited Kingdom; email: michael.morrissey@st-andrews.ac.uk",,"Blackwell Publishing Ltd",1010061X,,JEBIE,,"English","J. Evol. Biol.",Note,Scopus,2-s2.0-84991746933
"Morrissey M.B.","Meta-analysis of magnitudes, differences and variation in evolutionary parameters",2016,"Journal of Evolutionary Biology","29","10",,"1882","1904",,17,10.1111/jeb.12950,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985907467&doi=10.1111%2fjeb.12950&partnerID=40&md5=3125a063f7e3711c75cae9bc4d404738","School of Biology, University of St Andrews, St Andrews, Fife, United Kingdom","Morrissey, M.B., School of Biology, University of St Andrews, St Andrews, Fife, United Kingdom","Meta-analysis is increasingly used to synthesize major patterns in the large literatures within ecology and evolution. Meta-analytic methods that do not account for the process of observing data, which we may refer to as ‘informal meta-analyses’, may have undesirable properties. In some cases, informal meta-analyses may produce results that are unbiased, but do not necessarily make the best possible use of available data. In other cases, unbiased statistical noise in individual reports in the literature can potentially be converted into severe systematic biases in informal meta-analyses. I first present a general description of how failure to account for noise in individual inferences should be expected to lead to biases in some kinds of meta-analysis. In particular, informal meta-analyses of quantities that reflect the dispersion of parameters in nature, for example, the mean absolute value of a quantity, are likely to be generally highly misleading. I then re-analyse three previously published informal meta-analyses, where key inferences were of aspects of the dispersion of values in nature, for example, the mean absolute value of selection gradients. Major biological conclusions in each original informal meta-analysis closely match those that could arise as artefacts due to statistical noise. I present alternative mixed-model-based analyses that are specifically tailored to each situation, but where all analyses may be implemented with widely available open-source software. In each example meta-re-analysis, major conclusions change substantially. © 2016 European Society For Evolutionary Biology. Journal of Evolutionary Biology © 2016 European Society For Evolutionary Biology","meta-analysis; natural selection; reaction norms; synthesis","evolutionary biology; evolutionary theory; meta-analysis; natural selection; software","Morrissey, M.B.; School of Biology, University of St AndrewsUnited Kingdom; email: michael.morrissey@st-andrews.ac.uk",,"Blackwell Publishing Ltd",1010061X,,JEBIE,,"English","J. Evol. Biol.",Review,Scopus,2-s2.0-84985907467
"Derroire G., Balvanera P., Castellanos-Castro C., Decocq G., Kennard D.K., Lebrija-Trejos E., Leiva J.A., Odén P., Powers J.S., Rico-Gray V., Tigabu M., Healey J.R.","Resilience of tropical dry forests – a meta-analysis of changes in species diversity and composition during secondary succession",2016,"Oikos","125","10",,"1386","1397",,7,10.1111/oik.03229,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963502463&doi=10.1111%2foik.03229&partnerID=40&md5=7d9fa07a36166ef452e00a5f6b8b7863","School of Environment, Natural Resources and Geography, Bangor University, Deiniol Road, Bangor, Gwynedd, United Kingdom; Southern Swedish Forest Research Centre, Swedish Univ. of Agricultural Sciences, Alnarp, Sweden; Inst. de Investigaciones en Ecosistemas y Sustentabilidad, Univ. Nacional Autonoma de Mexico, Morelia, Michoacan, Mexico; Inst. de Investigación de Recursos Biológicos Alexander von Humboldt, Bogotá D.C, Colombia; UR “Ecologie et Dynamique des Systèmes Anthropisés” (EDYSAN, FRE 3498 CNRS-UPJV), Jules Verne Univ. of Picardie, Amiens, France; Dept of Physical and Environmental Sciences, Colorado Mesa University, Grand JunctionCO, United States; Dept of Biology and Environment, Faculty of Natural Sciences, Univ. of Haifa - Oranim, Tivon, Israel; Soil and Water Science Dept, Univ. of Florida, GainesvilleFL, United States; Dept of Ecology, Univ. of Minnesota, Saint PaulMN, United States; Dept of Plant Biology, Univ. of Minnesota, Saint PaulMN, United States; Inst. de Neuroetología, Univ. Veracruzana, Xalapa, Veracruz, Mexico","Derroire, G., School of Environment, Natural Resources and Geography, Bangor University, Deiniol Road, Bangor, Gwynedd, United Kingdom, Southern Swedish Forest Research Centre, Swedish Univ. of Agricultural Sciences, Alnarp, Sweden; Balvanera, P., Inst. de Investigaciones en Ecosistemas y Sustentabilidad, Univ. Nacional Autonoma de Mexico, Morelia, Michoacan, Mexico; Castellanos-Castro, C., Inst. de Investigación de Recursos Biológicos Alexander von Humboldt, Bogotá D.C, Colombia; Decocq, G., UR “Ecologie et Dynamique des Systèmes Anthropisés” (EDYSAN, FRE 3498 CNRS-UPJV), Jules Verne Univ. of Picardie, Amiens, France; Kennard, D.K., Dept of Physical and Environmental Sciences, Colorado Mesa University, Grand JunctionCO, United States; Lebrija-Trejos, E., Dept of Biology and Environment, Faculty of Natural Sciences, Univ. of Haifa - Oranim, Tivon, Israel; Leiva, J.A., Soil and Water Science Dept, Univ. of Florida, GainesvilleFL, United States; Odén, P., Southern Swedish Forest Research Centre, Swedish Univ. of Agricultural Sciences, Alnarp, Sweden; Powers, J.S., Dept of Ecology, Univ. of Minnesota, Saint PaulMN, United States, Dept of Plant Biology, Univ. of Minnesota, Saint PaulMN, United States; Rico-Gray, V., Inst. de Neuroetología, Univ. Veracruzana, Xalapa, Veracruz, Mexico; Tigabu, M., Southern Swedish Forest Research Centre, Swedish Univ. of Agricultural Sciences, Alnarp, Sweden; Healey, J.R., School of Environment, Natural Resources and Geography, Bangor University, Deiniol Road, Bangor, Gwynedd, United Kingdom","Assessing the recovery of species diversity and composition after major disturbance is key to understanding the resilience of tropical forests through successional processes, and its importance for biodiversity conservation. Despite the specific abiotic environment and ecological processes of tropical dry forests, secondary succession has received less attention in this biome than others and changes in species diversity and composition have never been synthesised in a systematic and quantitative review. This study aims to assess in tropical dry forests 1) the directionality of change in species richness and evenness during secondary succession, 2) the convergence of species composition towards that of old-growth forest and 3) the importance of the previous land use, precipitation regime and water availability in influencing the direction and rate of change. We conducted meta-analyses of the rate of change in species richness, evenness and composition indices with succession in 13 tropical dry forest chronosequences. Species richness increased with succession, showing a gradual accumulation of species, as did Shannon evenness index. The similarity in species composition of successional forests with old-growth forests increased with succession, yet at a low rate. Tropical dry forests therefore do show resilience of species composition but it may never reach that of old-growth forests. We found no significant differences in rates of change between different previous land uses, precipitation regimes or water availability. Our results show high resilience of tropical dry forests in term of species richness but a slow recovery of species composition. They highlight the need for further research on secondary succession in this biome and better understanding of impacts of previous land-use and landscape-scale patterns. Synthesis Secondary forests account for an increasing proportion of remaining tropical forest. Assessing their resilience is key to conservation of their biodiversity. Our study is the first meta-analysis of species changes during succession focussing on tropical dry forests, a highly threatened yet understudied biome. We show a gradual species accumulation and convergence of composition towards that of old-growth forests. While secondary tropical dry forests offer good potential for biodiversity conservation, their capacity for recovery at a sufficient rate to match threats is uncertain. Further research on this biome is needed to understand the effect of land use history and landscape processes. © 2016 The Authors",,"biodiversity; biome; competition (ecology); disturbance; diversity index; dry forest; ecosystem resilience; land use change; meta-analysis; quantitative analysis; secondary succession; species diversity; species evenness; species richness; tropical forest",,,"Blackwell Publishing Ltd",00301299,,OIKSA,,"English","Oikos",Article,Scopus,2-s2.0-84963502463
"Lemoine N.P., Hoffman A., Felton A.J., Baur L., Chaves F., Gray J., Yu Q., Smith M.D.","Underappreciated problems of low replication in ecological feld studies",2016,"Ecology","97","10",,"2554","2561",,9,10.1002/ecy.1506,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990871960&doi=10.1002%2fecy.1506&partnerID=40&md5=65efa7721e9311b57298185c8ae7b391","Department of Biology, Graduate Degree Program in Ecology, Colorado State University, Fort Collins, CO, United States; Institute of Agricultural Resources and Regional Planning, Chinese Academy of Agricultural Sciences, Beijing, China","Lemoine, N.P., Department of Biology, Graduate Degree Program in Ecology, Colorado State University, Fort Collins, CO, United States; Hoffman, A., Department of Biology, Graduate Degree Program in Ecology, Colorado State University, Fort Collins, CO, United States; Felton, A.J., Department of Biology, Graduate Degree Program in Ecology, Colorado State University, Fort Collins, CO, United States; Baur, L., Department of Biology, Graduate Degree Program in Ecology, Colorado State University, Fort Collins, CO, United States; Chaves, F., Department of Biology, Graduate Degree Program in Ecology, Colorado State University, Fort Collins, CO, United States; Gray, J., Department of Biology, Graduate Degree Program in Ecology, Colorado State University, Fort Collins, CO, United States; Yu, Q., Department of Biology, Graduate Degree Program in Ecology, Colorado State University, Fort Collins, CO, United States, Institute of Agricultural Resources and Regional Planning, Chinese Academy of Agricultural Sciences, Beijing, China; Smith, M.D., Department of Biology, Graduate Degree Program in Ecology, Colorado State University, Fort Collins, CO, United States","The cost and diffculty of manipulative feld studies makes low statistical power a pervasive issue throughout most ecological subdisciplines. Ecologists are already aware that small sample sizes increase the probability of committing Type II errors. In this article, we address a relatively unknown problem with low power: underpowered studies must overestimate small effect sizes in order to achieve statistical signifcance. First, we describe how low replication coupled with weak effect sizes leads to Type M errors, or exaggerated effect sizes. We then conduct a meta-analysis to determine the average statistical power and Type M error rate for manipulative feld experiments that address important questions related to global change; global warming, biodiversity loss, and drought. Finally, we provide recommendations for avoiding Type M errors and constraining estimates of effect size from underpowered studies. © 2016 by the Ecological Society of America.","Bayesian statistics; LASSO regression; Power; Priors; Ridge regression; Type M error; Type S error","biodiversity; drought; ecological approach; error analysis; fieldwork; global change; global warming; meta-analysis; regression analysis",,,"Ecological Society of America",00129658,,ECOLA,,"English","Ecology",Article,Scopus,2-s2.0-84990871960
"Xu X., Medvigy D., Powers J.S., Becknell J.M., Guan K.","Diversity in plant hydraulic traits explains seasonal and inter-annual variations of vegetation dynamics in seasonally dry tropical forests",2016,"New Phytologist","212","1",,"80","95",,25,10.1111/nph.14009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027917220&doi=10.1111%2fnph.14009&partnerID=40&md5=3522f383366b7d814b448e6dc16cc612","Department of Geosciences, Princeton University, Princeton, NJ, United States; Departments of Ecology, Evolution & Behavior and Plant Biology, University of Minnesota Twin Cities, Minneapolis, MN, United States; Department of Ecology & Evolutionary Biology, Brown University, Providence, RI, United States; Department of Natural Resources and Environmental Sciences, University of Illinois at Urbana Champaign, Urbana, IL, United States","Xu, X., Department of Geosciences, Princeton University, Princeton, NJ, United States; Medvigy, D., Department of Geosciences, Princeton University, Princeton, NJ, United States; Powers, J.S., Departments of Ecology, Evolution & Behavior and Plant Biology, University of Minnesota Twin Cities, Minneapolis, MN, United States; Becknell, J.M., Department of Ecology & Evolutionary Biology, Brown University, Providence, RI, United States; Guan, K., Department of Natural Resources and Environmental Sciences, University of Illinois at Urbana Champaign, Urbana, IL, United States","We assessed whether diversity in plant hydraulic traits can explain the observed diversity in plant responses to water stress in seasonally dry tropical forests (SDTFs). The Ecosystem Demography model 2 (ED2) was updated with a trait-driven mechanistic plant hydraulic module, as well as novel drought-phenology and plant water stress schemes. Four plant functional types were parameterized on the basis of meta-analysis of plant hydraulic traits. Simulations from both the original and the updated ED2 were evaluated against 5 yr of field data from a Costa Rican SDTF site and remote-sensing data over Central America. The updated model generated realistic plant hydraulic dynamics, such as leaf water potential and stem sap flow. Compared with the original ED2, predictions from our novel trait-driven model matched better with observed growth, phenology and their variations among functional groups. Most notably, the original ED2 produced unrealistically small leaf area index (LAI) and underestimated cumulative leaf litter. Both of these biases were corrected by the updated model. The updated model was also better able to simulate spatial patterns of LAI dynamics in Central America. Plant hydraulic traits are intercorrelated in SDTFs. Mechanistic incorporation of plant hydraulic traits is necessary for the simulation of spatiotemporal patterns of vegetation dynamics in SDTFs in vegetation models. © 2016 The Authors. New Phytologist © 2016 New Phytologist Trust","diversity; Ecosystem Demography model 2 (ED2); plant functional trait; plant hydraulics; seasonally dry tropical forests; tropical phenology","annual variation; demography; drought; dry forest; functional morphology; hydraulics; leaf area index; leaf litter; meta-analysis; phenology; remote sensing; seasonal variation; species diversity; tropical forest; vegetation dynamics; water stress; Costa Rica","Xu, X.; Department of Geosciences, Princeton UniversityUnited States; email: xu.withoutwax@gmail.com",,"Blackwell Publishing Ltd",0028646X,,NEPHA,27189787,"English","New Phytol.",Article,Scopus,2-s2.0-85027917220
"Hidding B., Bakker E.S., Hootsmans M.J.M., Hilt S.","Synergy between shading and herbivory triggers macrophyte loss and regime shifts in aquatic systems",2016,"Oikos","125","10",,"1489","1495",,5,10.1111/oik.03104,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959502444&doi=10.1111%2foik.03104&partnerID=40&md5=911bf1eb90023c0a7a5ab151d1dbd2cb","Leibniz Inst. of Freshwater Ecology and Inland Fisheries, Müggelseedamm 301, Berlin, Germany; Witteveen+ Bos Consulting Engineers, Ecology group, NL-7400 AE Deventer, Netherlands; Dept of Aquatic Ecology, Netherlands Inst. of Ecology (NIOO-KNAW), Droevendaalsesteeg 10, PB Wageningen, Netherlands; KWR Watercycle Research Inst., PO Box 1072, BB Nieuwegein, Netherlands","Hidding, B., Leibniz Inst. of Freshwater Ecology and Inland Fisheries, Müggelseedamm 301, Berlin, Germany, Witteveen+ Bos Consulting Engineers, Ecology group, NL-7400 AE Deventer, Netherlands; Bakker, E.S., Dept of Aquatic Ecology, Netherlands Inst. of Ecology (NIOO-KNAW), Droevendaalsesteeg 10, PB Wageningen, Netherlands; Hootsmans, M.J.M., KWR Watercycle Research Inst., PO Box 1072, BB Nieuwegein, Netherlands; Hilt, S., Leibniz Inst. of Freshwater Ecology and Inland Fisheries, Müggelseedamm 301, Berlin, Germany","Macrophytes play a keystone role in shallow aquatic ecosystems. In lakes, macrophytes stabilize clear-water conditions with high biodiversity and their decline can cause a shift to a turbid state with lower biodiversity. Various mechanisms have been suggested as triggers of macrophyte collapse. Herbivory by waterfowl and fish seems to be one of the obvious factors, but the response of macrophytes to herbivory is ambiguous. We hypothesized that herbivory alone does not typically cause macrophyte collapse, but that shading from periphyton can enhance the effect of herbivores. Shading of macrophytes is supposed to increase with eutrophication due to changes in the top–down control cascading from fish via macroinvertebrates to periphyton. We elaborated on this idea by fitting a macrophyte growth model with different herbivore grazing and periphyton shading scenarios. In addition, we performed a meta-analysis on existing experimental herbivore exclosure studies with respect to periphyton growth. The model supported our proposed hypothesis and the reviewed field studies appeared to point in the same direction. We suggest that a significant herbivore impact may indicate a reduced resilience of vegetation to eutrophication, making it an early warning signal for an imminent macrophyte collapse leading to a sudden shift of the system to turbid conditions. © 2016 The Authors",,"aquatic ecosystem; biodiversity; eutrophication; fish; growth modeling; herbivory; lacustrine environment; macroinvertebrate; macrophyte; periphyton; top-down control; waterfowl; Anatidae",,,"Blackwell Publishing Ltd",00301299,,OIKSA,,"English","Oikos",Article,Scopus,2-s2.0-84959502444
"Turney S., Buddle C.M.","Pyramids of species richness: the determinants and distribution of species diversity across trophic levels",2016,"Oikos","125","9",,"1224","1232",,2,10.1111/oik.03404,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963616057&doi=10.1111%2foik.03404&partnerID=40&md5=a8e2eaa31669e2e0bcfb61a52d73d939","Dept of Natural Resource Sciences, McGill Univ. Macdonald Campus, 21 111 Lakeshore Road, St. Anne de BellevueQC, Canada","Turney, S., Dept of Natural Resource Sciences, McGill Univ. Macdonald Campus, 21 111 Lakeshore Road, St. Anne de BellevueQC, Canada; Buddle, C.M., Dept of Natural Resource Sciences, McGill Univ. Macdonald Campus, 21 111 Lakeshore Road, St. Anne de BellevueQC, Canada","How species richness is distributed across trophic levels determines several dimensions of ecosystem functioning, including herbivory, predation, and decomposition rates. We perform a meta-analysis of 72 large published food webs to investigate their trophic diversity structure and possible endogenous, exogenous, and methodological causal variables. Consistent with classic theory, we found that published food webs can generally be described as ‘pyramids of species richness’. The food webs were more predator-poor, prey-rich and hierarchical than is expected by chance or by the niche or cascade models. The trophic species richness distribution also depended on centrality, latitude, ecosystem-type and methodological bias. Although trophic diversity structure is generally pyramidal, under many conditions the structure is consistently uniform or inverse-pyramidal. Our meta-analysis adds nuance to classic assumptions about food web structure: diversity decreases with trophic level, but not under all conditions, and the decrease may be scale-dependent. Synthesis The distribution of species richness across trophic levels has not been evaluated in recent decades, despite improvement in food web resolution and the relevance of biodiversity distribution to ecosystem function. Our meta-analysis of 72 large, recent food webs, illustrates that published food webs can generally be described as basal-rich, top-poor ‘pyramids of species richness’, consistent with classic theory. Although trophic diversity structure is generally pyramidal, under some environmental and ecological conditions the structure is uniform or inverse-pyramidal. Our meta-analysis confirms classic theory about food web structure, while adding nuance by describing conditions under which classic pyramid structure is not observed. © 2016 The Authors",,"biodiversity; decomposition; ecosystem function; food web; herbivory; meta-analysis; niche; species diversity; species richness; trophic level",,,"Blackwell Publishing Ltd",00301299,,OIKSA,,"English","Oikos",Article,Scopus,2-s2.0-84963616057
"Gibert A., Gray E.F., Westoby M., Wright I.J., Falster D.S.","On the link between functional traits and growth rate: meta-analysis shows effects change with plant size, as predicted",2016,"Journal of Ecology","104","5",,"1488","1503",,4,10.1111/1365-2745.12594,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973646321&doi=10.1111%2f1365-2745.12594&partnerID=40&md5=613ad4e9710ac622615c17a49cdb8efd","Department of Biological Sciences, Macquarie University, Sydney, NSW, Australia","Gibert, A., Department of Biological Sciences, Macquarie University, Sydney, NSW, Australia; Gray, E.F., Department of Biological Sciences, Macquarie University, Sydney, NSW, Australia; Westoby, M., Department of Biological Sciences, Macquarie University, Sydney, NSW, Australia; Wright, I.J., Department of Biological Sciences, Macquarie University, Sydney, NSW, Australia; Falster, D.S., Department of Biological Sciences, Macquarie University, Sydney, NSW, Australia","A plant's growth rate is seen as a central element of its ecological strategy, and as determined by its traits. Yet the literature is inconsistent about the empirical correlation between functional traits and growth, casting doubt on the capacity of some prominent traits to influence growth rate. We propose that traits should influence growth in a way that depends on the size of individual plants. We outline mechanisms and hypotheses based on new theoretical work and test these predictions in tree species using a meta-analysis of 103 studies (> 500 correlations) for five traits (specific leaf area, wood density, maximum height, seed mass and maximum assimilation rate). We also recorded data for 14 other traits commonly used in the trait literature. To capture the effects of plant size, we tested for a shift in the direction of correlation between growth rates and each trait across three ontogenetic stages: seedling, sapling and adult. Results were consistent with predictions, although there were some limitations arising from unequal numbers of observation across ontogenetic stages. Specific leaf area was correlated with relative growth rate in seedlings but not in adult plants. Correlations of growth with wood density were not affected by ontogenetic stage. Seed mass, assimilation rate and maximum height were correlated with relative growth rate only in one ontogenetic stage category: seedlings, seedlings and adults, respectively. Although we were able to confirm several of our theoretical predictions, major knowledge gaps still exist in the trait literature. For example, for one-third of the traits considered, the majority (> 75%) of reported correlations with growth came from the same ontogenetic stage. Synthesis. We show for some traits, how trait–growth correlations change in a predictable way with plant size. Our understanding of plant strategies should shift away from describing species as having a fixed growth strategy throughout their life (on a continuous axis from slow to fast growth), in favour of a size-dependent growth trajectories. © 2016 The Authors. Journal of Ecology © 2016 British Ecological Society","growth strategy; life-history traits; maximum height; ontogenetic stage; photosynthetic rate; plant development; seed mass; specific leaf area; wood density","bulk density; correlation; density; growth rate; leaf area; life history trait; meta-analysis; ontogeny; plant; sapling; seed; seedling; wood","Gibert, A.; Department of Biological Sciences, Macquarie UniversityAustralia; email: anais.gibert@gmail.com",,"Blackwell Publishing Ltd",00220477,,JECOA,,"English","J. Ecol.",Article,Scopus,2-s2.0-84973646321
"Jessop T.S., Lane M.L., Teasdale L., Stuart-Fox D., Wilson R.S., Careau V., Moore I.T.","Multiscale evaluation of thermal dependence in the glucocorticoid response of vertebrates",2016,"American Naturalist","188","3",,"342","356",,5,10.1086/687588,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981156659&doi=10.1086%2f687588&partnerID=40&md5=b7d15a76a5ec7e07de432b75fc419893","Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Waurn Ponds, VIC, Australia; School of Biosciences, University of Melbourne, Parkville, Australia; Sciences Department, Museum Victoria, Melbourne, Australia; School of Biological Sciences, University of Queensland, St. Lucia, Australia; Department of Biology, University of Ottawa, 30 Marie Curie, Ottawa, ON, Canada; Department of Biological Sciences, Virginia Tech, Blacksburg, VA, United States","Jessop, T.S., Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Waurn Ponds, VIC, Australia, School of Biosciences, University of Melbourne, Parkville, Australia; Lane, M.L., School of Biosciences, University of Melbourne, Parkville, Australia; Teasdale, L., School of Biosciences, University of Melbourne, Parkville, Australia, Sciences Department, Museum Victoria, Melbourne, Australia; Stuart-Fox, D., School of Biosciences, University of Melbourne, Parkville, Australia; Wilson, R.S., School of Biological Sciences, University of Queensland, St. Lucia, Australia; Careau, V., Department of Biology, University of Ottawa, 30 Marie Curie, Ottawa, ON, Canada; Moore, I.T., Department of Biological Sciences, Virginia Tech, Blacksburg, VA, United States","Environmental temperature has profound effects on animal physiology, ecology, and evolution. Glucocorticoid (GC) hormones, through effects on phenotypic performance and life history, provide fundamental vertebrate physiological adaptations to environmental variation, yet we lack a comprehensive understanding of how temperature influences GC regulation in vertebrates. Using field studies and metaand comparative phylogenetic analyses, we investigated how acute change and broadscale variation in temperature correlated with baseline and stress-induced GC levels. Glucocorticoid levels were found to be temperature and taxon dependent, but generally, vertebrates exhibited strong positive correlations with acute changes in temperature. Furthermore, reptile baseline, bird baseline, and capture stressinduced GC levels to some extent covaried with broadscale environmental temperature. Thus, vertebrate GC function appears clearly thermally influenced. However, we caution that lack of detailed knowledge of thermal plasticity, heritability, and the basis for strong phylogenetic signal in GC responses limits our current understanding of the role of GC hormones in species’ responses to current and future climate variation. © 2016 by The University of Chicago.","Macrophysiology; Performance; Physiological regulation; Steroid hormones; Thermal dependency; Vertebrates","adaptation; ecophysiology; environmental factor; heritability; hormone; performance assessment; phenotype; phenotypic plasticity; phylogenetics; physiological response; steroid; temperature effect; vertebrate; Animalia; Aves; Reptilia; Vertebrata; glucocorticoid; adaptation; animal; meta analysis; metabolism; phylogeny; physiology; temperature; vertebrate; Adaptation, Physiological; Animals; Glucocorticoids; Phylogeny; Temperature; Vertebrates","Jessop, T.S.; Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin UniversityAustralia; email: t.jessop@deakin.edu.au",,"University of Chicago Press",00030147,,AMNTA,27501091,"English","Am. Nat.",Article,Scopus,2-s2.0-84981156659
"Katz D.S.W.","The effects of invertebrate herbivores on plant population growth: a meta-regression analysis",2016,"Oecologia","182","1",,"43","53",,3,10.1007/s00442-016-3602-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961627407&doi=10.1007%2fs00442-016-3602-9&partnerID=40&md5=acc3733b886d69abf27f793f287bab08","School of Natural Resources and Environment, University of Michigan-Ann Arbor, 440 Church St., Ann Arbor, MI, United States","Katz, D.S.W., School of Natural Resources and Environment, University of Michigan-Ann Arbor, 440 Church St., Ann Arbor, MI, United States","Over the last two decades, an increasing number of studies have quantified the effects of herbivory on plant populations using stage-structured population models and integral projection models, allowing for the calculation of plant population growth rates (λ) with and without herbivory. In this paper, I assembled 29 studies and conducted a meta-regression to determine the importance of invertebrate herbivores to population growth rates (λ) while accounting for missing data. I found that invertebrate herbivory often induced important reductions in plant population growth rates (with herbivory, λ was 1.08 ± 0.36; without herbivory, λ was 1.28 ± 0.58). This relationship tended to be weaker for seed predation than for other types of herbivory, except when seed predation rates were very high. Even so, the amount by which studies reduced herbivory was a poor predictor of differences in population growth rates—which strongly cautions against using measured herbivory rates as a proxy for the impact of herbivores. Herbivory reduced plant population growth rates significantly more when potential growth rates were high, which helps to explain why there was less variation in actual population growth rates than in potential population growth rates. The synthesis of these studies also shows the need for future studies to report variance in estimates of λ and to quantify how λ varies as a function of plant density. © 2016, Springer-Verlag Berlin Heidelberg.","Insect herbivory; Integral projection models; Matrix population models; Meta-analysis; Plant–insect interactions","growth rate; herbivory; insect; meta-analysis; plant; plant-insect interaction; population growth; population modeling; seed predation; Hexapoda; Invertebrata; animal; drug effects; herbivory; insect; invertebrate; population growth; regression analysis; Animals; Herbivory; Insects; Invertebrates; Population Growth; Regression Analysis","Katz, D.S.W.; School of Natural Resources and Environment, University of Michigan-Ann Arbor, 440 Church St., United States; email: dwkatz@umich.edu",,"Springer Verlag",00298549,,OECOB,27017603,"English","Oecologia",Article,Scopus,2-s2.0-84961627407
