"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WWLJ5ADK","journalArticle","2017","Charlebois, Julia A.; Sargent, Risa D.","No consistent pollinator-mediated impacts of alien plants on natives","Ecology Letters","","1461-0248","10.1111/ele.12831","http://onlinelibrary.wiley.com.ezp.lib.unimelb.edu.au/doi/10.1111/ele.12831/abstract","The introduction of an alien plant is widely assumed to have negative consequences for the pollinator-mediated fitness of nearby natives. Indeed, a number of studies, including a highly cited meta-analysis, have concluded that the trend for such interactions is competitive. Here we provide evidence that publication bias and study design have obscured our ability to assess the pollinator-mediated impacts of alien plants. In a meta-analysis of 76 studies, we demonstrate that alien/native status does not predict the outcome of pollinator-mediated interactions among plants. Moreover, we found no evidence that similarity in floral traits or phylogenetic distance between species pairs influences the outcome of pollinator-mediated interactions. Instead, we report that aspects of study design, such as distance between the control and nearest neighbour, and/or the arrangement of study plants better predict the impact of a neighbour than does alien/native status. Our study sheds new light on the role that publication bias and experimental design play in the evaluation of key patterns in ecology. We conclude that, due to the absence of clear, generalisable pollinator-mediated impacts of alien species, management schemes should base decisions on community-wide assessments of the impacts of individual alien plant species, and not solely on alien/native status itself.","2017-11-01","2018-02-22 05:23:35","2018-02-22 05:24:32","2018-02-22 05:23:35","1479-1490","","11","20","","Ecol Lett","","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 005","","C:\Users\Steve\Zotero\storage\MQURMFCQ\C&S2017.Complete.Data.Set.csv; C:\Users\Steve\Zotero\storage\XUXB8GVP\ele12831-sup-0001-FigS1.jpg; C:\Users\Steve\Zotero\storage\L2XJWMGY\ele12831-sup-0002-FigS2.jpg; C:\Users\Steve\Zotero\storage\29DXMGH9\ele12831-sup-0003-SupplementS1.pdf; C:\Users\Steve\Zotero\storage\ZIVNHJ58\ele12831-sup-0004-SupplementS2.pdf; C:\Users\Steve\Zotero\storage\HTMCD59A\Charlebois and Sargent - 2017 - No consistent pollinator-mediated impacts of alien.pdf; C:\Users\Steve\Zotero\storage\GVFUF4MA\abstract.html","","Scopus Search A: Meta-analysis","publication bias; invasive species; experimental design; Competition; facilitation; phylogenetic meta-regression; pollinator-mediated interactions; seed set; visitation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZ2IFEVE","journalArticle","2017","Pironon, Samuel; Papuga, Guillaume; Villellas, Jesús; Angert, Amy L.; García, María B.; Thompson, John D.","Geographic variation in genetic and demographic performance: new insights from an old biogeographical paradigm","Biological Reviews","","1469-185X","10.1111/brv.12313","http://onlinelibrary.wiley.com.ezp.lib.unimelb.edu.au/doi/10.1111/brv.12313/abstract","The ‘centre–periphery hypothesis’ (CPH) is a long-standing postulate in ecology that states that genetic variation and demographic performance of a species decrease from the centre to the edge of its geographic range. This hypothesis is based on an assumed concordance between geographical peripherality and ecological marginality such that environmental conditions become harsher towards the limits of a species range. In this way, the CPH sets the stage for understanding the causes of distribution limits. To date, no study has examined conjointly the consistency of these postulates. In an extensive literature review we discuss the birth and development of the CPH and provide an assessment of the CPH by reviewing 248 empirical studies in the context of three main themes. First, a decrease in species occurrence towards their range limits was observed in 81% of studies, while only 51% demonstrated reduced abundance of individuals. A decline in genetic variation, increased differentiation among populations and higher rates of inbreeding were demonstrated by roughly one in two studies (47, 45 and 48%, respectively). However, demographic rates, size and population performance less often followed CPH expectations (20–30% of studies). We highlight the impact of important methodological, taxonomic, and biogeographical biases on such validation rates. Second, we found that geographic and ecological marginality gradients are not systematically concordant, which casts doubt on the reliability of a main assumption of the CPH. Finally, we attempt to disentangle the relative contribution of geographical, ecological and historical processes on the spatial distribution of genetic and demographic parameters. While ecological marginality gradients explain variation in species' demographic performance better than geographic gradients, contemporary and historical factors may contribute interactively to spatial patterns of genetic variation. We thereby propose a framework that integrates species' ecological niche characteristics together with current and past range structure to investigate spatial patterns of genetic and demographic variation across species ranges.","2017-11-01","2018-02-22 05:29:13","2021-03-11 08:58:07","2018-02-22 05:29:13","1877-1909","","4","92","","Biol Rev","Geographic variation in genetic and demographic performance","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 007","","C:\Users\Steve\Zotero\storage\NHPMF26F\brv12313-sup-0001-AppendixS1.xlsx; C:\Users\Steve\Zotero\storage\IX8PS8R8\brv12313-sup-0002-AppendixS2.docx; C:\Users\Steve\Zotero\storage\5QCXCX3J\brv12313-sup-0003-AppendixS3.R; C:\Users\Steve\Zotero\storage\XZ3EAB5Z\brv12313-sup-0004-AppendixS4.docx; C:\Users\Steve\Zotero\storage\BE8WZV2R\brv12313-sup-0005-AppendixS5.xlsx; C:\Users\Steve\Zotero\storage\9RSR99HG\brv12313-sup-0006-AppendixS6.pdf; C:\Users\Steve\Zotero\storage\U67YHH2B\Pironon et al. - 2017 - Geographic variation in genetic and demographic pe.pdf; C:\Users\Steve\Zotero\storage\RKU7ZGST\abstract.html","","Scopus Search A: Not MA - Other Review","abundant-center model; centre-periphery hypothesis; demography; ecological marginality; genetic diversity; meta-analysis; range limits; rear-leading edge; species distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3F2BLXNL","journalArticle","2017","Romano, A.; Saino, N.; Møller, A. P.","Viability and expression of sexual ornaments in the barn swallow Hirundo rustica: a meta-analysis","Journal of Evolutionary Biology","","1420-9101","10.1111/jeb.13151","http://onlinelibrary.wiley.com.ezp.lib.unimelb.edu.au/doi/10.1111/jeb.13151/abstract","Sexual selection results in the evolution of exaggerated secondary sexual characters that can entail a viability cost. However, in species where sexual ornaments honestly reflect individual quality, the viability cost of secondary sexual characters may be overwhelmed by variation in individual quality, leading to expect that individuals with the largest secondary sexual characters show higher, rather than lower viability. Here, we used meta-analyses to test whether such expected positive relationship between sexual ornamentation and viability exists in the barn swallow Hirundo rustica, which is one of the most studied model species of sexual selection under field conditions. We found a mean positive effect size of viability in relation to the expression of secondary sexual characters of 0.181 (CI: 0.084–0.278), indicating that in this species the more ornamented individuals are more viable, and therefore of high quality. Analyses of moderator variables showed similar effects in males and females, the H. r. rustica subspecies rather than others and tail length rather than other secondary sexual characters. Future research emphasis on other subspecies than the European one and secondary sexual characters than tail length may help identify the sources of heterogeneity in effect sizes.","2017-10-01","2018-02-22 05:44:24","2018-02-22 05:45:17","2018-02-22 05:44:24","1929-1935","","10","30","","J. Evol. Biol.","Viability and expression of sexual ornaments in the barn swallow Hirundo rustica","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 009","","C:\Users\Steve\Zotero\storage\FJ65ZNQP\Romano et al. - 2017 - Viability and expression of sexual ornaments in th.pdf; C:\Users\Steve\Zotero\storage\T7HPB7HM\jeb13151-sup-0001-FigS1.pdf; C:\Users\Steve\Zotero\storage\7B3G5YHT\jeb13151-sup-0002-TableS1.pdf; C:\Users\Steve\Zotero\storage\EWXILPDU\jeb13151-sup-0002-TableS2.pdf; C:\Users\Steve\Zotero\storage\WBTPWJLT\abstract.html","","Scopus Search A: Meta-analysis","meta-analysis; Hirundo rustica; sexual selection; barn swallow; secondary sexual characters; subspecies; survival; viability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZPBESU3S","journalArticle","2017","Davidson, Kate E.; Fowler, Mike S.; Skov, Martin W.; Doerr, Stefan H.; Beaumont, Nicola; Griffin, John N.","Livestock grazing alters multiple ecosystem properties and services in salt marshes: a meta-analysis","Journal of Applied Ecology","","1365-2664","10.1111/1365-2664.12892","http://onlinelibrary.wiley.com.ezp.lib.unimelb.edu.au/doi/10.1111/1365-2664.12892/abstract","* The far-reaching impacts of livestock grazing in terrestrial grasslands are widely appreciated, but how livestock affect the structure and functions of sensitive coastal ecosystems has hitherto lacked synthesis. Grazing-induced changes in salt marshes have the potential to alter the provision of valuable ecosystem services, such as coastal protection, blue carbon and biodiversity conservation. * To investigate how livestock alter soil, vegetation and faunal properties in salt marshes, we conducted a global meta-analysis of ungulate grazer impacts on commonly measured ecosystem properties (498 individual responses from 89 studies). We also tested stocking density, grazing duration, grazer identity, continent and vegetation type as potential modifiers of the grazing effect. The majority of studies were conducted in Europe (75) or the Americas (12), and investigated cattle (43) or sheep (22) grazing. * All measures of above-ground plant material (height, cover, above-ground biomass, litter) were decreased by grazing, potentially impairing coastal protection through diminished wave attenuation. * Soil carbon was reduced by grazing in American, but not European marshes, indicating a trade-off with climate regulation that varies geographically. Additionally, grazing increased soil bulk density, salinity and daytime temperature, and reduced redox potential. * Biodiversity responses depended on focal group, with positive effects of grazing on vegetation species richness, but negative effects on invertebrate richness. Grazing reduced the abundance of herbivorous invertebrates, which may affect fish and crustaceans that feed in the marsh. Overall vertebrate abundance was not affected, but there was provisional evidence for increases over a longer duration of grazing, potentially increasing birdwatching and wildfowling opportunities. * Synthesis and applications. Our results reveal that the use of salt marshes for livestock production affects multiple ecosystem properties, creating trade-offs and synergies with other ecosystem services. Grazing leads to reductions in blue carbon in the Americas but not in Europe. Grazing may compromise coastal protection and the provision of a nursery habitat for fish while creating provisioning and cultural benefits through increased wildfowl abundance. These findings can inform salt marsh grazing management, based on local context and desired ecosystem services.","2017-10-01","2018-02-22 05:49:45","2018-02-22 05:50:18","2018-02-22 05:49:45","1395-1405","","5","54","","J Appl Ecol","Livestock grazing alters multiple ecosystem properties and services in salt marshes","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 010","","C:\Users\Steve\Zotero\storage\I8NAWSEQ\Davidson et al. - 2017 - Livestock grazing alters multiple ecosystem proper.pdf; C:\Users\Steve\Zotero\storage\WBJ6K8PA\GrazingMAdata.xlsx; C:\Users\Steve\Zotero\storage\N68MYTX2\jpe12892-sup-0001-FigS1.docx; C:\Users\Steve\Zotero\storage\79AUEHD4\jpe12892-sup-0002-FigS2.docx; C:\Users\Steve\Zotero\storage\II8JAQ3Q\jpe12892-sup-0003-FigS3.docx; C:\Users\Steve\Zotero\storage\8Z5I26W2\jpe12892-sup-0004-FigS4.docx; C:\Users\Steve\Zotero\storage\AY769M89\jpe12892-sup-0005-TableS1.docx; C:\Users\Steve\Zotero\storage\BIBBGW8P\jpe12892-sup-0006-TableS2.docx; C:\Users\Steve\Zotero\storage\22TWR2XS\jpe12892-sup-0007-TableS3.docx; C:\Users\Steve\Zotero\storage\5JYW6MZD\jpe12892-sup-0008-AppendixS1.docx; C:\Users\Steve\Zotero\storage\XHIEZSH9\abstract.html","","Scopus Search A: Meta-analysis","biodiversity; blue carbon; cattle; coastal protection; ecosystem service trade-offs; grasslands; horses; sheep; soil; vegetation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QP4H4VMH","journalArticle","2017","Grant, James W. A.; Weir, Laura K.; Steingrímsson, Stefán Ó.","Territory size decreases minimally with increasing food abundance in stream salmonids: Implications for population regulation","Journal of Animal Ecology","","1365-2656","10.1111/1365-2656.12737","http://onlinelibrary.wiley.com.ezp.lib.unimelb.edu.au/doi/10.1111/1365-2656.12737/abstract","* How the local density of territorial animals responds to changes in food abundance will depend on the flexibility of territory size. Quantitative estimates of territory size over a broad range of food abundance are relatively rare because of the difficulty of measuring food abundance in the wild. * Stream salmonids are an ideal model system for investigating flexibility in territory size, because food abundance can be quantified in the field and manipulated in the laboratory. We conducted a meta-analysis to test whether territory size decreases with increasing food abundance, and a mixed model analysis to test among three competing predictions: with increasing food abundance, territory size will be (1) fixed—the slope of a regression of log territory size vs. log food abundance = 0; (2) flexible and decreasing, as if individuals are defending a fixed amount of food—a slope = −1; and (3) initially compressible, but with an asymptotic minimum size—a slope between 0 and −1. * We collected data from 16 studies that manipulated or measured food abundance while monitoring changes in territory size of young-of-the-year salmonids; 10 were experimental laboratory studies, whereas six were observational field studies. * Overall, territory size decreased significantly with increasing food abundance; the weighted average correlation coefficient was −0.31. However, the estimated slope of the relationship between log territory size and log food abundance was only −0.23, significantly different from 0, and also significantly shallower than −1. * Our estimated slope suggests that attempts to increase the density of territorial salmonids by increasing food abundance and reducing territory size will be inefficient; a 20-fold increase in food abundance would be required to double population density. Our analysis may also have implications for other species with a territorial mosaic social system—i.e. contiguous territories. In these social systems, social inertia will dampen any effects of changes in food abundance on the local density of settlers, compared to non-territorial species or those with non-contiguous territories.","2017-11-01","2018-03-01 02:22:05","2018-03-08 01:28:18","2018-03-01 02:22:05","1308-1316","","6","86","","J Anim Ecol","Territory size decreases minimally with increasing food abundance in stream salmonids","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 011","","C:\Users\Steve\Zotero\storage\FDV3ZB3N\Grant et al. - 2017 - Territory size decreases minimally with increasing.pdf; C:\Users\Steve\Zotero\storage\L6QA2AV3\Grant et al. data for archive.xlsx; C:\Users\Steve\Zotero\storage\SQTITKPC\jane12737-sup-0001-Supinfo.docx; C:\Users\Steve\Zotero\storage\M98ZSK39\abstract;jsessionid=8A7AEBF094F2EA83524199F0932BBA89.html","","Scopus Search A: Meta-analysis","contiguous territories; density limitation; elastic disc model; population density; stream salmonids; territoriality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6EW3TT2T","journalArticle","2017","Horswill, Cat; O'Brien, Susan H.; Robinson, Robert A.","Density dependence and marine bird populations: are wind farm assessments precautionary?","Journal of Applied Ecology","","1365-2664","10.1111/1365-2664.12841","http://onlinelibrary.wiley.com.ezp.lib.unimelb.edu.au/doi/10.1111/1365-2664.12841/abstract","* Although density-dependent regulation of population growth is thought to be relatively widespread in nature, density-independent models are often used to project the population response to drivers of change. Such models are often considered to provide a maximum estimate of mortality and therefore offer a precautionary approach to impact assessment. However, this perception assumes that density dependence operates as compensatory (negative density dependence), and overlooks that other forms of density dependence, such as depensation (positive density dependence), would generate a contrasting population response. * Currently, there is debate about including density-dependent mechanisms in models that assess the impact of offshore wind farms on marine bird populations. Density dependence is considered poorly understood for this group of species. Consequently, it is either excluded from assessments, or incorporated in a compensatory form that has little empirical validation. * We reviewed the evidence for compensatory and depensatory regulation of 31 marine bird species, and conducted a meta-analysis to examine the functional shape of density-dependent population growth. The evidence was also evaluated in relation to established species-specific indices of wind farm vulnerability in order to assess whether compensatory mechanisms are likely to offset losses associated with collision or displacement. * Compensatory regulation was reported across all of the demographic processes and focal groups considered, and was attributed to a variety of causal mechanisms. The strength of compensatory population growth appeared consistent between colonies; however, the regulation of productivity was highly context-dependent with a similar number of studies reporting compensatory, depensatory and insignificant effects. Depensation was consistently attributed to increased rates of predation at lower population densities. * Synthesis and applications. We conclude that among marine bird species with high vulnerability to wind farms, compensatory regulation is unlikely to offset large and sustained losses from the breeding population. In addition, depensation has the potential to accelerate population declines and generate local or regional extinctions, especially in smaller colonial species. Consequently, density-independent models will not offer a consistently precautionary approach for assessing the potential impact of wind farms on marine bird populations. Instead, assessments should examine the potential population response using a range of density-dependent structures.","2017-10-01","2018-03-06 07:14:06","2018-03-08 01:28:08","2018-03-06 07:14:05","1406-1414","","5","54","","J Appl Ecol","Density dependence and marine bird populations","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 013","","C:\Users\Steve\Zotero\storage\J62CU6B3\Horswill et al. - 2017 - Density dependence and marine bird populations ar.pdf; C:\Users\Steve\Zotero\storage\K5LZMSGQ\jpe12841-sup-0001-TableS1.docx; C:\Users\Steve\Zotero\storage\2Q54P9KQ\jpe12841-sup-0002-TableS2.doc; C:\Users\Steve\Zotero\storage\TLMTA27Y\abstract.html","","Scopus Search A: Meta-analysis","demography; density dependence; environmental impact assessment; population dynamics; population management; population regulation; sea duck; seabird; vital rates; wind farms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C7RBBL9H","journalArticle","2017","Auer, Sonya K.; Killen, Shaun S.; Rezende, Enrico L.","Resting vs. active: a meta-analysis of the intra- and inter-specific associations between minimum, sustained, and maximum metabolic rates in vertebrates","Functional Ecology","","1365-2435","10.1111/1365-2435.12879","http://onlinelibrary.wiley.com.ezp.lib.unimelb.edu.au/doi/10.1111/1365-2435.12879/abstract","* Variation in aerobic capacity has far reaching consequences for the physiology, ecology, and evolution of vertebrates. Whether at rest or active, animals are constrained to operate within the energetic bounds determined by their minimum (minMR) and sustained or maximum metabolic rates (upperMR). MinMR and upperMR can differ considerably among individuals and species but are often presumed to be mechanistically linked to one another. Specifically, minMR is thought to reflect the idling cost of the machinery needed to support upperMR. However, previous analyses based on limited datasets have come to conflicting conclusions regarding the generality and strength of their association. * Here we conduct the first comprehensive assessment of their relationship, based on a large number of published estimates of both the intra-specific (n = 176) and inter-specific (n = 41) phenotypic correlations between minMR and upperMR, estimated as either exercise-induced maximum metabolic rate (VO2max), cold-induced summit metabolic rate (Msum), or daily energy expenditure (DEE). * Our meta-analysis shows that there is a general positive association between minMR and upperMR that is shared among vertebrate taxonomic classes. However, there was stronger evidence for intra-specific correlations between minMR and Msum and between minMR and DEE than there was for a correlation between minMR and VO2max across different taxa. As expected, inter-specific correlation estimates were consistently higher than intra-specific estimates across all traits and vertebrate classes. * An interesting exception to this general trend was observed in mammals, which contrast with birds and exhibit no correlation between minMR and Msum. We speculate that this is due to the evolution and recruitment of brown fat as a thermogenic tissue, which illustrates how some species and lineages might circumvent this seemingly general association. * We conclude that, in spite of some variability across taxa and traits, the contention that minMR and upperMR are positively correlated generally holds true both within and across vertebrate species. Ecological and comparative studies should therefore take into consideration the possibility that variation in any one of these traits might partly reflect correlated responses to selection on other metabolic parameters. A lay summary is available for this article.","2017-09-01","2018-03-06 07:19:58","2018-03-08 01:28:31","2018-03-06 07:19:57","1728-1738","","9","31","","Funct Ecol","Resting vs. active","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 014","","C:\Users\Steve\Zotero\storage\W9JDM9SB\fec12879-sup-0001-Laysummary.pdf; C:\Users\Steve\Zotero\storage\88UCYQ6H\fec12879-sup-0002-AppendixS1.docx; C:\Users\Steve\Zotero\storage\KN48WYSC\fec12879-sup-0003-AppendixS2.docx; C:\Users\Steve\Zotero\storage\ESCGJ6R4\fec12879-sup-0004-AppendixS3.docx; C:\Users\Steve\Zotero\storage\SMU67QPT\fec12879-sup-0005-AppendixS4.docx; C:\Users\Steve\Zotero\storage\NXMAVKRK\Auer et al. - 2017 - Resting vs. active a meta-analysis of the intra- .pdf; C:\Users\Steve\Zotero\storage\H3CK7R8C\abstract.html","","Scopus Search A: Meta-analysis","aerobic capacity; daily energy expenditure; locomotion; maximum thermogenesis; resting metabolic rate; standard metabolic rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YCZTPTUK","journalArticle","2017","Buchanan, Amanda L.; Hermann, Sara L.; Lund, Margaret; Szendrei, Zsofia","A meta-analysis of non-consumptive predator effects in arthropods: the influence of organismal and environmental characteristics","Oikos","","1600-0706","10.1111/oik.04384","http://onlinelibrary.wiley.com.ezp.lib.unimelb.edu.au/doi/10.1111/oik.04384/abstract","Non-consumptive effects (NCEs) – changes in prey behavior or physiology in response to predator threat – are common and can be as strong as consumptive effects. However, our knowledge of NCEs in arthropod systems is lacking. Factors related to study organism and environment have the potential to influence the occurrence and magnitude of NCEs in arthropod systems. While factors such as coevolutionary history of natural enemies and their prey, predator cue, predator or prey feeding mode, and refuge availability have been theoretically and empirically examined, no trends have been proposed for arthropods. We compiled 62 studies, yielding 128 predator–prey interactions, which explicitly examined NCEs in experiments where arthropods were identified to species, using a previously published database of papers from 1990 to 2005 and a new database of papers published from 2006 to 2015. Using these data, we conducted a meta-analysis to explore the influence of organismal and environmental characteristics on the magnitude of predator NCEs. Our analysis addressed the following three questions. 1) Does predator–prey coevolution give rise to stronger NCEs than when predator and prey species did not coevolve? 2) What influence does habitat type and refuge availability have on NCEs? 3) How do predator characteristics (cue type, hunting mode and life stage) and prey characteristics (mobility, life stage, specialization, gregariousness and feeding mode) influence NCEs? We found that while NCEs were similar across most measured characteristics, NCEs on prey activity were significantly stronger when predator and prey shared an evolutionary history. Our results support growing evidence that NCEs have a negative effect on prey traits and that behavioral NCEs are stronger than physiological ones. Additional studies are needed to be confident in any emerging patterns, therefore we identify key gaps in the literature on NCEs in arthropod systems and discuss ideas for moving forward.","2017-09-01","2018-03-08 01:27:01","2018-03-08 01:27:39","2018-03-08 01:27:01","1233-1240","","9","126","","Oikos","A meta-analysis of non-consumptive predator effects in arthropods","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 015","","C:\Users\Steve\Zotero\storage\JMJ3K6X6\Buchanan et al_Oikos_Metaanalysis data.xlsx; C:\Users\Steve\Zotero\storage\38IGS223\Buchanan et al. - 2017 - A meta-analysis of non-consumptive predator effect.pdf; C:\Users\Steve\Zotero\storage\5HEL8KTS\oik-04384.pdf; C:\Users\Steve\Zotero\storage\CNJF4WPK\abstract;jsessionid=CAC622DD52511E50981E81DBA9234D79.html","","Scopus Search A: Meta-analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2P2HVQVY","journalArticle","2017","Soria, Maria; Leigh, Catherine; Datry, Thibault; Bini, Luis Mauricio; Bonada, Núria","Biodiversity in perennial and intermittent rivers: a meta-analysis","Oikos","","1600-0706","10.1111/oik.04118","http://onlinelibrary.wiley.com.ezp.lib.unimelb.edu.au/doi/10.1111/oik.04118/abstract","Comprehensive knowledge of the effects of disturbances on biodiversity is crucial for conservation and management, not least because ecosystems with low biodiversity may be the most vulnerable. In rivers, the role of disturbance in shaping aquatic biodiversity has mainly focused on floods. Perennial rivers (PRs) often flood, whereas intermittent rivers (IRs) flood, stop flowing and dry. Despite the recent and significant increase in research on IRs, controversy remains about whether they are more or less biodiverse than PRs. Our aim was to determine (Q1) if PRs and IRs differ in biodiversity and (Q2) if the direction and magnitude of the differences (effect sizes) are related to environmental (climate, season, habitat, longitudinal zonation and anthropogenic disturbance) and/or biological factors (taxonomic group). We conducted a meta-analysis on 44 published studies of PR and IR biodiversity that had replicated data. We applied random effects models to the data to obtain weighted mean effect sizes for differences between PRs and IRs, and their confidence intervals, by first considering all studies and then by splitting studies into groups on the basis of the above factors. We found that biodiversity was significantly higher in PRs than in IRs (Q1). We also detected significant differences (PRs> IRs) in studies of macroinvertebrates, in those conducted within arid and temperate climates, dry and wet sampling seasons, headwaters, and regions subject to different levels of anthropogenic disturbance (Q2). Our meta-analysis suggests that the expected increase in the prevalence of IRs in certain regions of the world due to global change could result in a decrease in freshwater biodiversity. To better manage and preserve aquatic biodiversity under future global change scenarios and to avoid potential ecosystem consequences of biodiversity loss, conservation efforts should be targeted towards those environmental conditions or taxonomic groups with significant differences (PRs > IRs).","2017-07-01","2018-03-08 01:47:14","2018-03-08 01:47:58","2018-03-08 01:47:14","1078-1089","","8","126","","Oikos","Biodiversity in perennial and intermittent rivers","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 017","","C:\Users\Steve\Zotero\storage\S76T9GSZ\Soria et al. - 2017 - Biodiversity in perennial and intermittent rivers.pdf; C:\Users\Steve\Zotero\storage\8L9AHJM6\Meta-analysis_PRs_IRs.xlsx; C:\Users\Steve\Zotero\storage\EY3VAG74\oik-04118.pdf; C:\Users\Steve\Zotero\storage\FWLHLEQI\abstract.html","","Scopus Search A: Meta-analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5JXGVSSD","journalArticle","2017","Soria, Maria; Leigh, Catherine; Datry, Thibault; Bini, Luis Mauricio; Bonada, Nuria","Data from: Biodiversity in perennial and intermittent rivers: a meta-analysis","","","0030-1299","10.5061/dryad.559cs","","Comprehensive knowledge of the effects of disturbances on biodiversity is crucial for conservation and management, not least because ecosystems with low biodiversity may be the most vulnerable. In rivers, the role of disturbance in shaping aquatic biodiversity has mainly focused on floods. Perennial rivers (PRs) often flood, whereas intermittent rivers (IRs) flood, stop flowing and dry.  Despite the recent and significant increase in research on IRs, controversy remains about whether they are more or less biodiverse than PRs. Our aim was to determine (Q1) if PRs and IRs differ in biodiversity and (Q2) if the direction and magnitude of the differences (effect sizes) are related to environmental (climate, season, habitat, longitudinal zonation and anthropogenic disturbance) and/or biological factors (taxonomic group). We conducted a meta-analysis on 44 published studies of PR and IR biodiversity that had replicated data. We applied random effects models to the data to obtain weighted mean effect sizes for differences between PRs and IRs, and their confidence intervals, by first considering all studies and then by splitting studies into groups on the basis of the above factors. We found that biodiversity was significantly higher in PRs than in IRs (Q1). We also detected significant differences (PRs>IRs) in studies of macroinvertebrates, in those conducted within arid and temperate climates, dry and wet sampling seasons, headwaters, and regions subject to different levels of anthropogenic disturbance (Q2). Our meta-analysis suggests that the expected increase in the prevalence of IRs in certain regions of the world due to global change could result in a decrease in freshwater biodiversity. To better manage and preserve aquatic biodiversity under future global change scenarios and to avoid potential ecosystem consequences of biodiversity loss, conservation efforts should be targeted towards those environmental conditions or taxonomic groups with significant differences (PRs>IRs).","2017-03-17","2018-03-08 01:49:39","2021-03-11 09:05:00","2018-03-08 01:49:39","","","","","","","","","","","","","","en","","","Dryad Digital Repository","","datadryad.org","","{:itemType: dataset}","","C:\Users\Steve\Zotero\storage\VTES77JF\Meta-analysis_PRs_IRs.xlsx","","","disturbance; flow intermittence; global change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
